File name,Formulae,Vertices,Edges,InRow Vertices,InRow Edges,TACO Vertices,TACO Edges,Max Dep Ref ,Max Dep,Longest Dep Ref,Longest Dep,RR-Chain-Comp,RR-Chain-NoComp,RR-Comp,RR-NoComp,RF-Comp,RF-NoComp,FR-Comp,FR-NoComp,FF-Comp,FF-NoComp,RR-GapOne,RR-GapOne-NoComp,RR-GapTwo,RR-GapTwo-NoComp,RR-GapThree,RR-GapThree-NoComp,RR-GapFour,RR-GapFour-NoComp,RR-GapFive,RR-GapFive-NoComp,RR-GapSix,RR-GapSix-NoComp,RR-GapSeven,RR-GapSeven-NoComp,NoType,NoType-NoComp
tracy_geaccone_000_1_1.pst.211.xls,14,25,22,21,18,14,10,Sheet1:D13,5,Sheet1:I13,3,0,0,2,6,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracy_geaccone_000_1_1.pst.212.xls,1798,3177,2985,1256,1281,904,762,ETS-TWrestatemt:AB18,63,ETS-TWrestatemt:X18,7,0,0,632,2680,0,0,0,0,0,0,4,8,46,92,3,20,18,36,45,132,0,0,2,5,12,12
tracy_geaccone_000_1_1.pst.213.xls,2082,3936,2776,2543,2039,679,393,Format:L14,55,Format:D13,15,0,0,161,881,0,0,0,0,0,0,123,1717,16,32,18,36,29,58,6,12,0,0,0,0,40,40
tracy_geaccone_000_1_1.pst.215.xls,2001,3820,2668,2518,2015,640,369,Format:L14,55,Format:D13,15,0,0,149,785,0,0,0,0,0,0,124,1730,16,32,18,36,17,34,6,12,0,0,0,0,39,39
tracy_geaccone_000_1_1.pst.217.xls,33,42,21,28,14,6,3,Sheet1:M10,3,Sheet1:L8,2,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
tracy_geaccone_000_1_1.pst.220.xls,295,586,426,307,231,156,98,EECC:U11,11,EECC:P16,5,0,0,27,222,0,0,0,0,0,0,34,142,6,12,2,4,8,16,0,0,6,12,0,0,15,15
tracy_geaccone_000_1_1.pst.222.xls,132,207,174,156,134,138,95,2002 8-21 compared to 9-13:G69,16,2002 8-21 compared to 9-13:K57,8,0,0,10,50,8,16,0,0,1,2,4,8,5,10,0,0,18,36,1,2,2,4,0,0,46,46
tracy_geaccone_000_1_1.pst.223.xls,48,72,65,72,65,48,38,Summary page:C5,4,Summary page:F7,3,0,0,3,8,1,2,0,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,6,12,22,22
tracy_geaccone_000_1_1.pst.226.xls,538,1118,1421,475,595,246,183,ICAprest:AK18,100,ICAprest:AK12,7,0,0,72,1021,2,4,0,0,22,268,2,12,5,10,15,39,2,4,0,0,0,0,0,0,63,63
tracy_geaccone_000_1_1.pst.228.xls,157,293,258,259,242,60,37,Format:V18,11,Format:H7,6,0,0,4,19,0,0,0,0,0,0,17,209,0,0,13,26,1,2,0,0,0,0,0,0,2,2
tracy_geaccone_000_1_1.pst.229.xls,157,293,258,259,242,60,37,Format:V18,11,Format:H7,6,0,0,4,19,0,0,0,0,0,0,17,209,0,0,13,26,1,2,0,0,0,0,0,0,2,2
tracy_geaccone_000_1_1.pst.236.xls,51,115,113,62,68,56,45,Open Position:H11,6,Open Position:G9,3,0,0,18,59,0,0,0,0,0,0,6,13,16,32,2,4,2,4,0,0,0,0,0,0,1,1
tracy_geaccone_000_1_1.pst.237.xls,15073,25379,24544,15377,15514,7797,5601,Trackers:D61,1098,Trackers:D184,54,19,201,3096,18979,0,0,0,0,114,228,1115,2681,171,366,165,447,231,476,70,176,259,518,105,210,256,256
tracy_geaccone_000_1_1.pst.238.xls,10696,16614,16321,12462,11417,5544,3745,CASHFLOW:D318,289,BACKUP:C303,32,4,47,2322,13397,0,0,0,0,0,0,406,882,218,452,240,487,76,152,70,140,115,233,104,256,190,190
tracy_geaccone_000_1_1.pst.239.xls,13553,22744,21888,13649,13790,7144,5124,Trackers:D45,875,Trackers:D344,43,18,190,2844,16943,0,0,0,0,12,24,1067,2434,174,373,123,324,194,402,17,34,323,682,129,258,223,223
tracy_geaccone_000_1_1.pst.247.xls,318,719,738,602,556,477,311,September 26:I11,9,September 26:I11,3,0,0,58,218,0,0,0,0,0,0,77,256,88,176,0,0,0,0,0,0,0,0,0,0,88,88
tracy_geaccone_000_1_1.pst.25.xls,126,211,155,207,153,100,60,2000:E13,15,2000:E13,6,0,0,2,6,0,0,0,0,1,3,27,98,0,0,7,14,2,4,0,0,9,18,0,0,12,12
tracy_geaccone_000_1_1.pst.251.xls,441,624,536,624,536,241,138,NET INCOME:AQ11,9,NET INCOME:AQ13,9,18,36,0,0,0,0,0,0,0,0,76,435,0,0,18,36,0,0,3,6,0,0,0,0,23,23
tracy_geaccone_000_1_1.pst.253.xls,67,132,138,79,70,32,21,Sheet1:I15,15,Sheet1:C12,6,0,0,17,130,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,3
